longitude,latitude
-98.5,39.76
-98.5,39.76
-119.75126,37.25022
-82.5001,28.75054
-98.5,39.76
-98.5,39.76
-90.23827,46.43141
-98.5,39.76
-156.50028,20.75028
-98.5,39.76
-119.75126,37.25022
-94.06703,44.03459
-71,-30
-119.75126,37.25022
13.41667,52.5
113.55972,22.15778
23.5,-2.5
-119.75126,37.25022
-117.15726,32.71533
-70.66667,19
-117.15726,32.71533
-120.50147,47.50012
-165.08802,60.53778
-94.06703,44.03459
-80.00032,35.50069
4.88969,52.37403
-118.24368,34.05223
120,-5
-84.25,14
-119.75126,37.25022
-120.03078,34.53834
105,35
-79.78921,39.87285
-75.4999,43.00035
-94.06703,44.03459
-90,25
-161.00056,66.83333
-150.00028,64.00028
-105.86724,37.43473
-102,23
-122.42349,37.77239
-88.08567,41.85195
6.33688,45.67452
-119.75126,37.25022
-73.67596,40.70732
-116.75119,39.25021
-99.25061,31.25044
10,62
-72.59766,-8.05923
-2.11006,49.18585
-122.48116,47.25935
151.89756,7.45168
1.66667,10.75
127,40
-98.5,39.76
-161.00056,66.83333
-2.69531,54.75844
-94.06703,44.03459
-102,23
72,-6
-98.5,39.76
144.81834,13.47861
-98.5,39.76
-161.00056,66.83333
121,24
-96.37094,35.90268
-74.63373,39.46883
-161.00056,66.83333
-74.63373,39.46883
-74.63373,39.46883
-119.75126,37.25022
-102,23
-79.38898,37.55277
21,7
70,30
122,13
-119.75126,37.25022
-98.5,39.76
-122.54608,47.21484
-82.7538,9.65755
-76.95111,20.96167
-85.78441,34.43953
-113.64258,60.10867
-82.5001,28.75054
33.2,19
-98.5,39.76
35.66667,19.96667
-98.5,39.76
-98.5,39.76
127.75,36.5
-98.5,39.76
-118.24368,34.05223
-119.75126,37.25022
-119.75126,37.25022
7.54012,44.93314
-102,23
-98.5,39.76
-82.5001,28.75054
-73,-41.75
88.86201,25.85911
-150.00028,64.00028
-161.00056,66.83333
-0.12574,51.50853
-105.50083,39.00027
-98.5,39.76
-89.75036,32.75041
139.75309,35.68536
-120.50147,47.50012
-83.3858,42.66041
21,7
23.5,-2.5
28.38867,51.72703
-58,83
-25,10
-119.75126,37.25022
105,35
-80.45589,26.15186
-76.08299,37.03348
-94.06703,44.03459
-94.06703,44.03459
-85.25911,32.18626
-122.4425,37.77823
-0.12574,51.50853
135,-25
-94.06703,44.03459
-113.64258,60.10867
-97.39682,35.42555
-94.90503,48.77051
-106.23483,31.76855
-83.04575,42.33143
-97.95781,34.5023
5.68618,43.73788
-94.06703,44.03459
-98.5,39.76
-74.25003,39.866
-91.94999,40.75323
-94.06703,44.03459
-161.00056,66.83333
